Mon Jan 30 16:45:15 2023 -- Circle found centered at image coordinates: x = 950, y = 293
Mon Jan 30 16:45:16 2023 -- Circle found centered at image coordinates: x = 970, y = 294
Mon Jan 30 16:45:16 2023 -- Circle found centered at image coordinates: x = 990, y = 293
Mon Jan 30 16:45:16 2023 -- Circle found centered at image coordinates: x = 1010, y = 294
Mon Jan 30 16:45:16 2023 -- Circle found centered at image coordinates: x = 1030, y = 293
Mon Jan 30 16:45:17 2023 -- Circle found centered at image coordinates: x = 1030, y = 273
Mon Jan 30 16:45:17 2023 -- Circle found centered at image coordinates: x = 1030, y = 253
Mon Jan 30 16:45:21 2023 -- Circle found centered at image coordinates: x = 1050, y = 254
Mon Jan 30 16:45:21 2023 -- Circle found centered at image coordinates: x = 1070, y = 253
Mon Jan 30 16:45:22 2023 -- Circle found centered at image coordinates: x = 1090, y = 254
Mon Jan 30 16:45:26 2023 -- Circle found centered at image coordinates: x = 1090, y = 213
Mon Jan 30 16:45:26 2023 -- Circle found centered at image coordinates: x = 1090, y = 193
Mon Jan 30 16:45:26 2023 -- Circle found centered at image coordinates: x = 1090, y = 173
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1110, y = 174
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1130, y = 173
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1150, y = 174
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1170, y = 173
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1190, y = 174
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1210, y = 173
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1210, y = 153
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1210, y = 173
Mon Jan 30 16:45:27 2023 -- Circle found centered at image coordinates: x = 1210, y = 153
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1210, y = 133
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1210, y = 113
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1210, y = 93
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1230, y = 94
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1250, y = 93
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1270, y = 94
Mon Jan 30 16:45:28 2023 -- Circle found centered at image coordinates: x = 1290, y = 93
Mon Jan 30 16:45:29 2023 -- Circle found centered at image coordinates: x = 1290, y = 73
Mon Jan 30 16:45:29 2023 -- Circle found centered at image coordinates: x = 1290, y = 53
Mon Jan 30 16:45:29 2023 -- Circle found centered at image coordinates: x = 1290, y = 33
Mon Jan 30 16:45:32 2023 -- Circle found centered at image coordinates: x = 1270, y = 34
Mon Jan 30 16:45:32 2023 -- Circle found centered at image coordinates: x = 1250, y = 33
Mon Jan 30 16:45:32 2023 -- Circle found centered at image coordinates: x = 1230, y = 34
